Year,Category,Disel,Petrol,LPG,CNG Gas,Others,Total
2012-2013,Motor Cycles,429,145659,0,0,0,146088
2012-2013,Scooters,0,152,0,0,0,152
2012-2013,Mopeds,0,0,0,0,0,0
2012-2013,Total Two  wheelers,429,145811,0,0,0,146240
2012-2013,Motor Cars,3999,40231,34,2169,0,46433
2012-2013,Jeeps,941,0,0,0,0,941
2012-2013,Station Wagons,0,0,0,0,0,0
2012-2013,Taxi meter fitted,0,0,0,0,0,0
2012-2013,Taxi Tourist Cabs,1032,0,0,0,0,1032
2012-2013,Autorickshaws,47,103,42,2539,0,2731
2012-2013,Stage Carriages,0,0,0,0,0,0
2012-2013,Contract Carriages/Mini Bus,344,0,0,0,0,344
2012-2013,School Buses,0,0,0,0,0,0
2012-2013,Pvt.Serv.Veh.,0,0,0,0,0,0
2012-2013,Ambulances,0,27,0,0,0,27
2012-2013,Arti. & Multi.Veh.,37,0,0,0,0,37
2012-2013,Trucks & Lorries,657,0,0,0,0,657
2012-2013,Tankers,55,0,0,0,0,55
2012-2013,Del. Van(4 Wh.),2641,0,0,0,0,2641
2012-2013,Del. Van(3 wh.),1016,0,0,0,0,1016
2012-2013,Tractors,270,0,0,0,0,270
2012-2013,Trailers,2,0,0,0,0,2
2012-2013,Others.,130,0,0,0,0,130
2012-2013,Total,11600,186172,76,4708,0,202556
2013-2014,Motor Cycles,9,86534,0,0,101,86644
2013-2014,Scooters,3,58739,0,1,19,58762
2013-2014,Mopeds,0,388,0,0,0,388
2013-2014,Total Two  wheelers,12,145661,0,1,120,145794
2013-2014,Motor Cars,17294,20688,100,3406,15,41503
2013-2014,Jeeps,4,0,0,0,0,4
2013-2014,Station Wagons,0,0,0,0,0,0
2013-2014,Taxi meter fitted,24,6,0,0,0,30
2013-2014,Taxi Tourist Cabs,676,138,0,89,0,903
2013-2014,Autorickshaws,0,656,2,1270,0,1928
2013-2014,Stage Carriages,0,0,0,0,0,0
2013-2014,Contract Carriages/Mini Bus,514,24,0,36,0,574
2013-2014,School Buses,0,0,0,0,0,0
2013-2014,Pvt.Serv.Veh.,88,0,0,0,0,88
2013-2014,Ambulances,0,25,0,0,0,25
2013-2014,Arti. & Multi.Veh.,218,0,0,0,0,218
2013-2014,Trucks & Lorries,1581,0,0,0,0,1581
2013-2014,Tankers,64,0,0,1,0,65
2013-2014,Del. Van(4 Wh.),404,52,0,6,1,463
2013-2014,Del. Van(3 wh.),1814,0,0,0,0,1814
2013-2014,Tractors,1640,0,0,0,1,1641
2013-2014,Trailers,145,0,0,0,0,145
2013-2014,Others.,206,30,0,16,0,252
2013-2014,Total,24684,167280,102,4825,137,197028
2014-2015,Motor Cycles,8,142490,0,0,3246,145744
2014-2015,Scooters,0,16111,0,0,4169,20280
2014-2015,Mopeds,0,174,0,0,1,175
2014-2015,Total Two  wheelers,8,158775,0,0,7416,166199
2014-2015,Motor Cars,17300,24209,0,4383,51,45943
2014-2015,Jeeps,1,0,0,0,0,1
2014-2015,Station Wagons,0,0,0,0,0,0
2014-2015,Taxi meter fitted,3,0,0,0,0,3
2014-2015,Taxi Tourist Cabs,2885,92,0,207,23,3207
2014-2015,Autorickshaws,2,2,8,4696,0,4708
2014-2015,Stage Carriages,0,0,0,0,0,0
2014-2015,Contract Carriages/Mini Bus,277,262,1,178,0,718
2014-2015,School Buses,632,0,0,78,0,710
2014-2015,Pvt.Serv.Veh.,36,0,0,0,0,36
2014-2015,Ambulances,29,37,0,0,1,67
2014-2015,Arti. & Multi.Veh.,1319,0,0,0,0,1319
2014-2015,Trucks & Lorries,1395,0,0,0,8,1403
2014-2015,Tankers,228,0,0,0,0,228
2014-2015,Del. Van(4 Wh.),5090,0,1,236,0,5327
2014-2015,Del. Van(3 wh.),1055,7,0,0,0,1062
2014-2015,Tractors,1352,1,0,0,322,1675
2014-2015,Trailers,0,0,0,0,627,627
2014-2015,Others.,72,155,0,13,123,363
2014-2015,Total,31684,183540,10,9791,8571,233596
2015-2016,Motor Cycles,2,103477,0,0,50,103529
2015-2016,Scooters,5,74223,0,0,5,74233
2015-2016,Mopeds,0,395,0,0,0,395
2015-2016,Total Two  wheelers,7,178095,0,0,55,178157
2015-2016,Motor Cars,15759,27180,35,3561,71,46606
2015-2016,Jeeps,0,3,0,0,0,3
2015-2016,Station Wagons,0,0,0,0,0,0
2015-2016,Taxi meter fitted,0,4,0,0,0,4
2015-2016,Taxi Tourist Cabs,6095,65,0,111,0,6271
2015-2016,Autorickshaws,0,0,0,3218,2,3220
2015-2016,Stage Carriages,0,0,0,0,0,0
2015-2016,Contract Carriages/Mini Bus,1708,142,0,116,0,1966
2015-2016,School Buses,584,0,0,0,0,584
2015-2016,Pvt.Serv.Veh.,15,0,0,0,0,15
2015-2016,Ambulances,0,33,0,0,0,33
2015-2016,Arti. & Multi.Veh.,1556,0,0,0,1,1557
2015-2016,Trucks & Lorries,2980,0,0,0,1,2981
2015-2016,Tankers,24,0,0,0,0,24
2015-2016,Del. Van(4 Wh.),4230,79,0,32,9,4350
2015-2016,Del. Van(3 wh.),1379,0,0,0,0,1379
2015-2016,Tractors,1720,0,0,0,0,1720
2015-2016,Trailers,0,0,0,0,319,319
2015-2016,Others.,242,29,0,17,1,289
2015-2016,Total,36299,205630,35,7055,459,249478
2016-2017,Motor Cycles,0,110437,0,0,0,110437
2016-2017,Scooters,0,68822,0,0,0,68822
2016-2017,Mopeds,0,414,0,0,0,414
2016-2017,Total Two  wheelers,0,179673,0,0,0,179673
2016-2017,Motor Cars,45403,0,0,4342,0,49745
2016-2017,Jeeps,10,0,0,0,0,10
2016-2017,Station Wagons,0,0,0,0,0,0
2016-2017,Taxi meter fitted,0,0,0,0,0,0
2016-2017,Taxi Tourist Cabs,12620,0,0,0,0,12620
2016-2017,Autorickshaws,0,199,0,4741,0,4940
2016-2017,Stage Carriages,0,0,0,0,0,0
2016-2017,Contract Carriages/Mini Bus,4740,0,0,199,0,4939
2016-2017,School Buses,95,0,0,0,0,95
2016-2017,Pvt.Serv.Veh.,10,0,0,0,0,10
2016-2017,Ambulances,32,0,0,0,0,32
2016-2017,Arti. & Multi.Veh.,3041,0,0,0,0,3041
2016-2017,Trucks & Lorries,7207,0,0,0,0,7207
2016-2017,Tankers,37,0,0,0,0,37
2016-2017,Del. Van(4 Wh.),4156,0,0,0,0,4156
2016-2017,Del. Van(3 wh.),1880,0,0,0,0,1880
2016-2017,Tractors,1249,0,0,0,0,1249
